Tissue,PC1,PC2,PC3
adipose tissue,-24.89468523552528,46.740623867733845,-0.5901320971333268
adrenal gland,11.672720969681329,31.40707429501025,7.035718178228097
amygdala,126.53445417209704,-17.283119826811642,-30.48026204503117
appendix,-70.44033293253071,-54.57272923475524,-33.97221270670266
basal ganglia,126.36727960351105,-12.084124916226838,-20.093931544055348
blood vessel,-0.6936364599986041,55.68834771342706,-2.53355495045737
bone marrow,-91.0257528712094,-92.01087220706292,1.1393219432316053
breast,-29.96969505484189,36.82404555158461,8.874049203169214
cerebellum,108.491840754909,-32.62063931299031,1.7826371328459556
cerebral cortex,116.90762308730905,-13.140851271487932,-7.354758004437314
cervix,-17.854896128125617,43.04540357056662,12.372485963109513
choroid plexus,43.72193277392717,-4.803477902081481,-14.520841275499057
colon,-29.521527981734014,40.29538120264811,0.477323144506999
duodenum,-51.551236161082926,-19.381699445523488,-29.936775262908718
endometrium,-11.187544113445247,27.29672762181245,10.817508943031596
epididymis,-7.841409295886894,-40.60783044915346,-10.959001303844891
esophagus,-35.36111847305591,37.3820305385746,6.613211739968603
fallopian tube,-1.6045213893602974,27.648161683836523,22.05081360135797
gallbladder,-39.749467093471736,-26.61348381006757,-35.894169374966154
heart muscle,15.58151911424778,65.40180245463546,12.03740129432228
hippocampal formation,124.2494471722406,-19.518663594868798,-27.808598363398715
hypothalamus,123.47319449706501,-23.81956403147365,-25.87506572848935
kidney,-1.546682858875266,53.2163546954823,16.77705413169514
liver,-32.000909551153676,59.85693468213529,17.193833952095368
lung,-33.6498942992559,19.217614764912952,-6.46836917852637
lymph node,-80.24501929410313,-70.09056110450582,-20.191265211762634
midbrain,108.17968660338806,-13.337631089079705,-32.83552207315893
ovary,-6.047962494441579,27.699371444164935,23.294769512435007
pancreas,-10.08084150649481,37.177933895175286,15.679595681419926
parathyroid gland,-7.693010505025932,-12.906563260139075,-2.850050967172044
pituitary gland,62.10618246250193,0.9591817679463939,5.402448054044085
placenta,-48.08093001992474,-26.914522404466062,-22.63946714268985
prostate,-5.1772231561683855,33.25914082232008,10.20350662844921
rectum,-61.27398759709649,-40.29403931925316,-37.48065190953767
retina,50.07021948961745,-111.26412447196518,2.755679716426644
salivary gland,-24.769448447762205,35.88415008026063,3.3311415565063633
seminal vesicle,-10.051462854966418,-10.232881702844548,-22.764800486456835
skeletal muscle,12.097041140659554,71.04027746824843,35.37925721120217
skin,-26.213578589003387,31.944498540685025,24.792452685063324
small intestine,-45.88360393724798,14.407556037636297,-9.632926814784433
smooth muscle,-34.13286969602906,-20.359582817376193,-27.86403073507892
spinal cord,88.24335250673525,-17.995556072255145,-31.327090611449687
spleen,-53.93246206170418,-9.100220621696447,-1.3306987975027187
stomach,-31.203362765716648,29.87785833025539,0.35691924856748297
testis,26.60289656726914,-94.29564145714305,250.071015983082
thymus,-73.6249845863079,-81.42937633029217,-12.33958981514223
thyroid gland,-14.099766342653481,28.304583215921777,20.475364827768185
tongue,-0.5855548835134191,19.650100678170475,-6.60718491240771
tonsil,-86.47892413448885,-73.15560445758673,-27.05058821838713
urinary bladder,-37.38493303708697,33.12537636359092,-2.6289526362199047
vagina,-8.446155105862513,30.482829824376243,-4.883018165322773
