Gene,Gene name,tau,max_nTPM
ENSG00000185982,DEFB128,1.0,1124.9
ENSG00000131068,DEFB118,1.0,935.8
ENSG00000198129,DEFB107B,1.0,501.4
ENSG00000165471,MBL2,1.0,262.8
ENSG00000102076,OPN1LW,1.0,237.8
ENSG00000134389,CFHR5,1.0,156.2
ENSG00000186572,DEFB107A,1.0,131.9
ENSG00000181786,ACTL9,1.0,108.2
ENSG00000157060,SHCBP1L,1.0,107.2
ENSG00000214681,IQCF5,1.0,95.6
ENSG00000188655,RNASE9,1.0,93.0
ENSG00000196475,GK2,1.0,83.7
ENSG00000235699,CXorf51B,1.0,78.7
ENSG00000141200,KIF2B,1.0,70.5
ENSG00000151033,LYZL2,1.0,68.4
ENSG00000224440,CXorf51A,1.0,67.3
ENSG00000173389,IQCF1,1.0,65.1
ENSG00000132631,SCP2D1,1.0,62.0
ENSG00000203926,SPANXA2,1.0,61.3
ENSG00000129864,VCY,1.0,60.7
ENSG00000283439,SPEM3,1.0,59.1
ENSG00000179407,DNAJB8,1.0,57.9
ENSG00000163114,PDHA2,1.0,56.2
ENSG00000144962,SPATA16,1.0,55.6
ENSG00000131059,BPIFA3,1.0,52.4
ENSG00000177684,DEFB114,1.0,49.7
ENSG00000181867,FTMT,1.0,48.6
ENSG00000178279,TNP2,1.0,48.3
ENSG00000180697,C3orf22,1.0,48.1
ENSG00000165805,C12orf50,1.0,47.2
ENSG00000167139,TBC1D21,1.0,46.4
ENSG00000166152,C16orf78,1.0,45.8
ENSG00000269433,OPN1MW3,1.0,44.9
ENSG00000214642,DEFB113,1.0,44.6
ENSG00000155833,CYLC2,1.0,43.6
ENSG00000167098,SUN5,1.0,42.8
ENSG00000118434,SPACA1,1.0,39.5
ENSG00000187082,DEFB106B,1.0,37.6
ENSG00000197651,CCER1,1.0,36.2
ENSG00000104755,ADAM2,1.0,35.6
ENSG00000178395,CCDC185,1.0,33.7
ENSG00000150676,CCDC83,1.0,33.2
ENSG00000198573,SPANXC,1.0,30.4
ENSG00000170613,GARIN3,1.0,29.8
ENSG00000183035,CYLC1,1.0,29.7
ENSG00000229937,PRPS1L1,1.0,29.4
ENSG00000189139,FSCB,1.0,28.7
ENSG00000177504,VCX2,1.0,27.0
ENSG00000164299,SPZ1,1.0,26.6
ENSG00000255359,CCDC179,1.0,26.1
ENSG00000189326,SPANXN4,1.0,24.8
ENSG00000134249,ADAM30,1.0,24.2
ENSG00000170967,DDI1,1.0,24.1
ENSG00000205108,FAM205A,1.0,23.3
ENSG00000224902,GAGE12H,1.0,23.2
ENSG00000165059,PRKACG,1.0,23.0
ENSG00000227488,GAGE12D,1.0,22.1
ENSG00000237671,GAGE12C,1.0,22.1
ENSG00000283434,CSNKA2IP,1.0,21.9
ENSG00000187969,ZCCHC13,1.0,21.4
ENSG00000196406,SPANXD,1.0,20.7
ENSG00000204300,TMEM225,1.0,20.5
ENSG00000198445,CCT8L2,1.0,20.2
ENSG00000232113,TEX50,1.0,20.0
ENSG00000176566,DCAF4L2,1.0,19.9
ENSG00000138813,C4orf17,1.0,18.7
ENSG00000046774,MAGEC2,1.0,18.4
ENSG00000238205,MPC1L,1.0,17.3
ENSG00000203795,FAM24A,1.0,16.5
ENSG00000171060,C8orf74,1.0,16.1
ENSG00000155890,TRIM42,1.0,15.9
ENSG00000184345,IQCF2,1.0,15.5
ENSG00000166049,PASD1,1.0,15.0
ENSG00000216649,GAGE12E,1.0,13.7
ENSG00000205442,IZUMO3,1.0,12.9
ENSG00000221900,POM121L12,1.0,12.4
